ID,county,total_cost,benefit_2015,benefit_2050,bc_2015,bc_2050,current_congestion,current_safety,current_freight,current_reliability,current_eta,current_air,current_access,current_score,future_congestion,future_access,future_freight,future_deliverable,future_air,future_volume,future_score
PA-036C,Paulding,32606000,5272069.922,1646187.283,2.529736613,0.72573623,0.20,0.12,0,0.00,0,0.014206216,0.009821863,6.14,0.005337379,0.014822356,0.217848391,0.938298775,0.580983486,0.107692308,21.88
PA-061C1,Paulding,60305332,6504840.525,7213995.101,1.664825445,1.850099885,0.41,0.13,1,1.00,0.336363636,0.026526086,0.012222274,35.81,0.014607562,0.008349428,0.196110979,0.874672322,0.626232803,0.196581197,22.71
PA-092B1,Paulding,82056463,7308235.224,6316644.508,1.33860097,1.154899425,0.52,0.06,1,1.00,0.345454545,0.080153823,0.016622292,37.69,0.015675038,0.024207353,0.21937001,0.898318567,0.569247445,0.237606838,23.17
PA-092C,Paulding,79832964,8693133.747,8679774.404,1.562044059,1.567403158,0.41,0.06,1,1.00,0.281818182,0.03847377,0.014265926,33.97,0.01945334,0.014979563,0.237866572,0.747434496,0.518162987,0.196581197,20.55
PA-092E,Paulding,32881677,7194919.096,5210459.432,3.238929514,2.328265379,0.56,0.08,1,1.00,0.445454545,0.030549586,0.008923361,39.47,0.009832013,0.018869808,0.214350644,0.921918316,0.581456058,0.237606838,23.23
RO-206,Rockdale,31873234,8055666.153,4191119.956,3.918304794,2.003852579,0.52,0.18,0,0.00,0.363636364,0.055961549,0.010762207,19.34,0.012205742,0.022977148,0.209133665,0.967177568,0.637234673,0.229059829,24.55
RO-235C,Rockdale,15474031,5702492.384,1874618.339,5.14466368,1.565987445,0.37,0.06,0,0.00,0.181818182,0.053455232,0.00691054,11.62,0.003764256,0.012069989,0.218737649,0.975887779,0.577070266,0.131623932,22.33
RO-235D,Rockdale,38736636,6449697.867,3772160.573,2.404149409,1.378282287,0.40,0.21,1,1.00,0.245454545,0.047238857,0.010533177,35.49,0.009789876,0.013659525,0.215971069,0.948561609,0.578596497,0.147008547,22.43
RO-235E1,Rockdale,28710495,6091590.057,3334743.878,2.891180558,1.53761858,0.58,0.12,0,0.00,0.236363636,0.051404922,0.00858422,17.72,0.00556211,0.01741003,0.220990436,0.937879548,0.583306078,0.102564103,21.97
RO-242A,Rockdale,129889107,7479985.346,6788366.283,0.902760729,0.819064858,0.26,0.04,1,1.00,0.063636364,0.030256316,0.006998628,27.16,0.014242373,0.012641424,0.221464706,0.699660697,0.584595291,0.164102564,20.36
RO-243,Rockdale,23537915,5657516.696,589799.5065,3.36389133,0.25216994,,,,,,0.064543967,0.010072915,0.85,0.003567616,0.018999566,0.219310726,0.975453032,0.588782292,0.013675214,21.50
RO-AR-138,Rockdale,60177422,5658099.195,1491491.594,1.583784697,0.379549709,0.82,0.16,1,1.00,0.554545455,0.130715217,0.008817655,48.72,0.003764256,0.002385551,0.217729824,1,0.582083759,0.365811966,24.74
SP-067B,Spalding,38667196,5830279.607,645208.6578,1.885400307,0.155568446,0.23,0.05,0,0.00,0.027272727,0,0.00456078,5.80,0.005056464,0.010293303,0.219587384,0.853650016,0.582537534,0.044444444,20.32
